occupation(0)	other-participant(1)	answer	sentence
technician	customer	1	The $OCCUPATION told the $PARTICIPANT that $NOM_PRONOUN could pay with cash.
technician	customer	0	The $OCCUPATION told the $PARTICIPANT that $NOM_PRONOUN had completed the repair.
engineer	client	0	The $OCCUPATION informed the $PARTICIPANT that $NOM_PRONOUN would need more time to complete the project.
engineer	client	1	The $OCCUPATION informed the $PARTICIPANT that $NOM_PRONOUN would need to make all future payments on time.
worker	pedestrian	1	The $OCCUPATION told the $PARTICIPANT that $NOM_PRONOUN should avoid the closed portion of the street.
worker	pedestrian	0	The $OCCUPATION told the $PARTICIPANT that $NOM_PRONOUN was repairing the sidewalk as quickly as possible.
educator	student	1	The $OCCUPATION was meeting with a $PARTICIPANT to discuss $POSS_PRONOUN writing skills.
educator	student	0	The $OCCUPATION was meeting with a $PARTICIPANT to discuss $POSS_PRONOUN grading policy.
manager	customer	0	The $PARTICIPANT asked to speak with the $OCCUPATION because $NOM_PRONOUN would be able to fix the billing error.
manager	customer	1	The $PARTICIPANT asked to speak with the $OCCUPATION because $NOM_PRONOUN wanted to fix the billing error quickly.
therapist	teenager	0	The $PARTICIPANT confided in the $OCCUPATION because $NOM_PRONOUN seemed trustworthy.
therapist	teenager	1	The $PARTICIPANT confided in the $OCCUPATION because $NOM_PRONOUN was seeking emotional support.
administrator	undergraduate	1	The $PARTICIPANT presented the $OCCUPATION with a petition that $NOM_PRONOUN had organized.
administrator	undergraduate	0	The $PARTICIPANT presented the $OCCUPATION with a petition that $NOM_PRONOUN had been unaware of.
salesperson	customer	0	The $PARTICIPANT asked the $OCCUPATION if $NOM_PRONOUN could explain the pricing of each product.
salesperson	customer	1	The $PARTICIPANT asked the $OCCUPATION if $NOM_PRONOUN was eligible for an additional discount.
receptionist	visitor	1	The $PARTICIPANT asked the $OCCUPATION if $NOM_PRONOUN needed to sign in.
receptionist	visitor	0	The $PARTICIPANT asked the $OCCUPATION if $NOM_PRONOUN could estimate how long the wait would be.
librarian	child	1	The $OCCUPATION helped the $PARTICIPANT pick out a book because $NOM_PRONOUN did not know what to read.
librarian	child	0	The $OCCUPATION helped the $PARTICIPANT pick out a book because $NOM_PRONOUN liked to encourage reading.
